"","X","Company","TypeName","Inches","ScreenResolution","Cpu","Ram..GB.","Memory","Gpu","OpSys","Weight.KG.","Price","Price_in_USD"
"1",17,"Apple","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz",16,"512GB SSD","AMD Radeon Pro 560","macOS",1.83,152274.24,1979.56512
"2",267,"Lenovo","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"1TB HDD","Intel HD Graphics 620","No OS",2.2,24881.76,323.46288
"3",126,"HP","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"1TB HDD","Intel UHD Graphics 620","Windows 10",1.63,43263.36,562.42368
"4",211,"Asus","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10",2.9,74964.96,974.54448
"5",911,"HP","Ultrabook",12.5,"4K Ultra HD / Touchscreen 3840x2160","Intel Core M 6Y75 1.2GHz",8,"240GB SSD","Intel HD Graphics 515","Windows 10",1.09,165168,2147.184
"6",136,"Lenovo","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"1TB HDD","Intel HD Graphics 500","No OS",1.9,13445.7408,174.7946304
"7",990,"HP","Netbook",12.5,"Full HD 1920x1080","Intel Core M 6Y75 1.2GHz",8,"512GB SSD","Intel HD Graphics 515","Windows 10",0.97,101658.24,1321.55712
"8",132,"Acer","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"256GB SSD","Intel UHD Graphics 620","Windows 10",1.6,47099.52,612.29376
"9",668,"Toshiba","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",2,67026.24,871.34112
"10",1286,"Lenovo","Notebook",14,"1366x768","Intel Celeron Dual Core N3050 1.6GHz",2,"64GB Flash Storage","Intel HD Graphics","Windows 10",1.5,12201.12,158.61456
"11",309,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"1TB HDD","Intel HD Graphics 520","Windows 10",1.86,24988.32,324.84816
"12",1105,"Dell","Ultrabook",12.5,"1366x768","Intel Core i5 6200U 2.3GHz",8,"256GB SSD","Intel HD Graphics 520","Windows 7",1.5,75289.968,978.769584
"13",961,"Lenovo","Ultrabook",12.5,"IPS Panel Full HD 1920x1080","Intel Core i5 7300U 2.6GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.36,93772.8,1219.0464
"14",35,"Lenovo","Notebook",14,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"64GB Flash Storage","Intel HD Graphics 500","Windows 10",1.44,13266.72,172.46736
"15",360,"HP","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"500GB HDD","Intel HD Graphics 520","Windows 10",1.86,23389.92,304.06896
"16",287,"Asus","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"256GB SSD","Nvidia GeForce 940MX","Windows 10",1.7,52054.56,676.70928
"17",778,"Razer","Gaming",14,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"512GB SSD","Nvidia GeForce GTX 1060","Windows 10",1.95,154458.72,2007.96336
"18",1065,"Dell","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"256GB SSD","Intel HD Graphics 620","Windows 10",1.29,77682.24,1009.86912
"19",897,"HP","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"1TB HDD","Nvidia GeForce 930MX","Windows 10",2.04,47952,623.376
"20",224,"Dell","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10",4.42,130873.7952,1701.3593376
"21",174,"HP","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"256GB SSD","Nvidia GeForce 930MX","Windows 10",2.5,49177.44,639.30672
"22",541,"Dell","Notebook",14,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"128GB SSD","Intel HD Graphics 520","Windows 10",1.6,39207.1536,509.6929968
